Year;blue Satisfaction;red Satisfaction;yellow Satisfaction;brown Satisfaction
1565;35.0;42.0;40.0;39.0
1570;35.0;42.0;41.0;39.0
1575;35.0;43.0;41.0;39.0
1580;35.0;43.0;41.0;39.0
1585;35.0;43.0;41.0;39.0
1590;35.0;43.0;41.0;39.0
1595;35.0;43.0;42.0;39.0
1600;35.0;43.0;42.0;39.0
1605;35.0;43.0;42.0;39.0
1610;35.0;43.0;42.0;39.0
1615;35.0;43.0;42.0;39.0
1620;35.0;43.0;42.0;39.0
1625;36.0;43.0;42.0;39.0
1630;36.0;43.0;42.0;39.0
1635;36.0;43.0;43.0;39.0
1640;36.0;43.0;43.0;39.0
1645;36.0;43.0;42.0;40.0
1650;36.0;43.0;43.0;40.0
1655;36.0;43.0;43.0;40.0
1660;36.0;43.0;43.0;40.0
1665;37.0;43.0;43.0;40.0
1670;36.0;43.0;43.0;40.0
1675;36.0;43.0;44.0;40.0
1680;36.0;43.0;44.0;40.0
1685;36.0;43.0;44.0;40.0
1690;37.0;44.0;44.0;40.0
1695;37.0;44.0;45.0;40.0
1700;37.0;44.0;45.0;40.0
1705;37.0;44.0;45.0;40.0
1710;38.0;44.0;45.0;40.0
1715;38.0;44.0;45.0;40.0
1720;38.0;44.0;45.0;40.0
1725;38.0;44.0;45.0;40.0
1730;38.0;44.0;45.0;41.0
1735;38.0;44.0;45.0;41.0
1740;38.0;44.0;46.0;41.0
1745;38.0;44.0;46.0;41.0
1750;39.0;44.0;45.0;41.0
1755;40.0;44.0;45.0;41.0
1760;40.0;45.0;45.0;41.0
1765;40.0;45.0;45.0;41.0
1770;40.0;45.0;45.0;41.0
1775;40.0;45.0;45.0;41.0
1780;40.0;45.0;45.0;41.0
1785;40.0;44.0;45.0;41.0
1790;40.0;44.0;45.0;40.0
1795;40.0;44.0;45.0;40.0
1800;40.0;45.0;45.0;40.0
1805;40.0;45.0;45.0;40.0
1810;40.0;45.0;45.0;40.0
1815;41.0;45.0;45.0;41.0
1820;41.0;45.0;45.0;41.0
1825;41.0;45.0;45.0;41.0
1830;42.0;45.0;45.0;41.0
1835;42.0;46.0;45.0;42.0
1840;43.0;46.0;45.0;42.0
1845;43.0;46.0;45.0;42.0
1850;43.0;46.0;45.0;42.0
1855;43.0;46.0;45.0;42.0
1860;43.0;46.0;45.0;42.0
1865;43.0;46.0;45.0;42.0
1870;43.0;46.0;45.0;42.0
1875;44.0;46.0;45.0;42.0
1880;44.0;47.0;45.0;42.0
1885;44.0;46.0;46.0;42.0
1890;44.0;46.0;46.0;42.0
1895;44.0;46.0;46.0;43.0
1900;44.0;46.0;46.0;43.0
1905;44.0;46.0;46.0;43.0
1910;44.0;46.0;46.0;43.0
1915;45.0;46.0;46.0;43.0
1920;45.0;46.0;46.0;43.0
1925;45.0;46.0;46.0;43.0
1930;45.0;46.0;46.0;43.0
1935;45.0;47.0;46.0;43.0
1940;45.0;47.0;46.0;43.0
1945;45.0;47.0;47.0;43.0
1950;45.0;47.0;47.0;43.0
1955;45.0;47.0;47.0;44.0
1960;45.0;47.0;47.0;44.0
1965;45.0;47.0;47.0;44.0
1970;45.0;47.0;47.0;44.0
1975;45.0;47.0;48.0;44.0
1980;45.0;47.0;48.0;44.0
